iter	TotalF1	MultiClass
0	0.564831325	-2.360110504
1	0.5864174863	-2.165352562
2	0.5941863872	-2.020704572
3	0.5981481721	-1.910297651
4	0.599272623	-1.81379296
5	0.6026573451	-1.733535784
6	0.6075153849	-1.663638946
7	0.6169242245	-1.601884425
8	0.617314865	-1.546513621
9	0.6193940867	-1.496218205
10	0.6221908566	-1.449680733
11	0.6231715142	-1.409692267
12	0.6247315692	-1.367975349
13	0.6272961531	-1.328988728
14	0.6350406371	-1.295108156
15	0.6419260773	-1.261370911
16	0.6446227754	-1.233139142
17	0.6480359503	-1.206517554
18	0.6758716332	-1.178598353
19	0.6808280831	-1.152319906
20	0.6888548687	-1.130510374
21	0.6963601769	-1.104258155
22	0.6997894334	-1.082825297
23	0.7036220148	-1.063377369
24	0.7036833701	-1.043624566
25	0.7100282614	-1.024941361
26	0.7135623037	-1.005131352
27	0.7170727222	-0.9887150235
28	0.7201812531	-0.9734637617
29	0.7221093814	-0.957110029
30	0.7256099997	-0.9402545888
31	0.7292628406	-0.9244348657
32	0.7321428314	-0.9114436443
33	0.732427702	-0.9000057184
34	0.7339975223	-0.8884470401
35	0.7345894567	-0.8759826233
36	0.7345540707	-0.8654952639
37	0.7359082919	-0.8541876378
38	0.7379499013	-0.8434610679
39	0.7393328479	-0.8341033653
40	0.7405670825	-0.8251095757
41	0.7412631611	-0.8153455723
42	0.7440147055	-0.8056475864
43	0.745533707	-0.7956481186
44	0.7470081094	-0.7870753712
45	0.7489663278	-0.777843901
46	0.7531069789	-0.7702275894
47	0.753881599	-0.7616273092
48	0.757482519	-0.754739694
49	0.7590042869	-0.7481575042
50	0.7610994601	-0.7392148691
51	0.7629052412	-0.7322759171
52	0.7649783335	-0.7266544538
53	0.7667133999	-0.7186315506
54	0.7686029067	-0.7130742597
55	0.7716658011	-0.7055228111
56	0.7726691061	-0.7006244456
57	0.7757285933	-0.6956842016
58	0.7778244218	-0.6886586272
59	0.7810263213	-0.6845079314
