iter	Passed	Remaining
0	696	3483572
1	1330	3325563
2	1966	3274824
3	2601	3248812
4	3233	3229975
5	3846	3201978
6	4494	3205655
7	5127	3199576
8	5772	3201040
9	6383	3185473
10	7030	3188468
11	7653	3181191
12	8287	3179251
13	8899	3169578
14	9525	3165776
15	10166	3166871
16	10776	3158896
17	11400	3155486
18	12015	3149858
19	12624	3143571
20	13225	3135797
21	13824	3128158
22	14408	3117900
23	15037	3117794
24	15669	3118326
25	16285	3115486
26	16905	3113816
27	17527	3112332
28	18091	3101206
29	18729	3102786
30	19298	3093329
31	19940	3095695
32	20510	3087087
33	21114	3083901
34	21720	3081209
35	22362	3083509
36	22967	3080691
37	23573	3078262
38	24155	3072648
39	24762	3070565
40	25324	3063012
41	25875	3054540
42	26490	3053785
43	27062	3048216
44	27680	3047925
45	28254	3042910
46	28840	3039330
47	29405	3033648
48	29986	3029854
49	30544	3023871
50	31113	3019274
51	31696	3016052
52	32260	3011142
53	32794	3003762
54	33353	2998762
55	33940	2996465
56	34496	2991549
57	35078	2988969
58	35609	2982185
59	36165	2977658
60	36698	2971349
61	37285	2969641
62	37836	2965041
63	38381	2960146
64	38922	2955108
65	39565	2957798
66	40102	2952632
67	40656	2948761
68	41287	2950534
69	41864	2948475
70	42412	2944361
71	43026	2944905
72	43547	2939188
73	44067	2933496
74	44658	2932594
75	45203	2928679
76	45781	2927029
77	46326	2923292
78	46879	2920207
79	47510	2921865
80	48108	2921575
81	48628	2916550
82	49175	2913215
83	49765	2912488
84	50295	2908249
85	50819	2903794
86	51376	2901289
87	51930	2898659
88	52511	2897580
89	53075	2895552
90	53623	2892708
91	54253	2894293
92	54836	2893376
93	55444	2893712
94	55976	2890173
95	56505	2886482
96	57067	2884558
97	57602	2881323
98	58191	2880777
99	58773	2879904
100	59327	2877656
101	59916	2877157
102	60441	2873600
103	60972	2870414
104	61564	2870082
105	62150	2869470
106	62731	2868664
107	63269	2865851
108	63833	2864318
109	64415	2863542
110	64960	2861187
111	65516	2859327
112	66042	2856196
113	66568	2853100
114	67194	2854293
115	67776	2853609
116	68356	2852880
117	68921	2851484
118	69486	2850097
119	70071	2849561
120	70619	2847525
121	71197	2846736
122	71723	2843854
123	72297	2842928
124	72898	2843059
125	73422	2840152
126	74010	2839782
127	74587	2839005
128	75155	2837857
129	75724	2836767
130	76316	2836529
131	76932	2837182
132	77487	2835571
133	78047	2834162
134	78613	2832987
135	79220	2833308
136	79783	2832037
137	80368	2831537
138	80917	2829792
139	81518	2829848
140	82122	2830033
141	82696	2829158
142	83263	2828036
143	83780	2825273
144	84314	2823069
145	84903	2822738
146	85425	2820218
147	85993	2819190
148	86567	2818370
149	87155	2818024
150	87728	2817187
151	88318	2816908
152	88879	2815676
153	89440	2814467
154	90029	2814163
155	90597	2813179
156	91123	2810909
157	91711	2810542
158	92321	2810877
159	92922	2810914
160	93511	2810573
161	94075	2809476
162	94643	2808534
163	95258	2808970
164	95811	2807557
165	96416	2807693
166	96984	2806750
167	97588	2806817
168	98124	2804960
169	98690	2803979
170	99293	2804032
171	99862	2803103
172	100383	2800876
173	100935	2799496
174	101527	2799269
175	102110	2798767
176	102706	2798602
177	103307	2798598
178	103898	2798288
179	104474	2797591
180	105031	2796381
181	105639	2796534
182	106255	2796896
183	106790	2795112
184	107405	2795440
185	107982	2794769
186	108558	2794079
187	109099	2792492
188	109632	2790691
189	110261	2791360
190	110807	2789920
191	111349	2788383
192	111886	2786718
193	112419	2784990
194	112986	2784095
195	113558	2783349
196	114114	2782204
197	114635	2780198
198	115268	2780915
199	115880	2781123
200	116420	2779610
201	117019	2779498
202	117608	2779160
203	118190	2778631
204	118790	2778531
205	119382	2778250
206	120024	2779115
207	120600	2778443
208	121162	2777471
209	121742	2776879
210	122278	2775306
211	122885	2775367
212	123495	2775457
213	124087	2775153
214	124604	2773168
215	125202	2773006
216	125792	2772646
217	126355	2771707
218	126957	2771609
219	127556	2771465
220	128157	2771327
221	128673	2769383
222	129283	2769451
223	129874	2769115
224	130459	2768642
225	131035	2767970
226	131618	2767462
227	132182	2766550
228	132728	2765272
229	133373	2766056
230	133997	2766387
231	134572	2765700
232	135197	2766034
233	135766	2765230
234	136325	2764220
235	136892	2763374
236	137492	2763192
237	138070	2762569
238	138679	2762571
239	139246	2761720
240	139809	2760794
241	140407	2760575
242	141039	2761004
243	141585	2759753
244	142183	2759524
245	142795	2759555
246	143369	2758842
247	143990	2759052
248	144574	2758530
249	145208	2758959
250	145829	2759143
251	146353	2757488
252	146946	2757139
253	147496	2755974
254	148080	2755460
255	148663	2754927
256	149189	2753337
257	149822	2753709
258	150419	2753438
259	150987	2752624
260	151595	2752539
261	152179	2752002
262	152750	2751245
263	153325	2750559
264	153923	2750294
265	154486	2749396
266	155079	2749025
267	155665	2748547
268	156260	2748203
269	156889	2748464
270	157460	2747715
271	158091	2748002
272	158646	2746971
273	159186	2745684
274	159720	2744280
275	160323	2744080
276	160923	2743835
277	161473	2742727
278	162062	2742288
279	162655	2741911
280	163244	2741468
281	163846	2741240
282	164406	2740309
283	164958	2739243
284	165477	2737642
285	166071	2737282
286	166661	2736844
287	167241	2736253
288	167860	2736303
289	168437	2735653
290	169024	2735175
291	169610	2734671
292	170132	2733159
293	170728	2732817
294	171289	2731927
295	171886	2731608
296	172457	2730866
297	173047	2730434
298	173618	2729694
299	174158	2728475
300	174756	2728169
301	175278	2726683
302	175825	2725578
303	176403	2724969
304	177045	2725343
305	177576	2723993
306	178174	2723693
307	178748	2723010
308	179341	2722626
309	179934	2722232
310	180528	2721856
311	181064	2720607
312	181711	2721034
313	182257	2719936
314	182832	2719265
315	183450	2719251
316	184052	2718982
317	184655	2718727
318	185182	2717366
319	185822	2717652
320	186351	2716323
321	186947	2715967
322	187530	2715415
323	188052	2713988
324	188653	2713713
325	189247	2713319
326	189808	2712466
327	190356	2711425
328	190918	2710577
329	191539	2710570
330	192119	2709994
331	192685	2709204
332	193234	2708191
333	193823	2707729
334	194390	2706963
335	194965	2706303
336	195496	2705041
337	196104	2704843
338	196716	2704709
339	197298	2704145
340	197851	2703195
341	198403	2702238
342	198977	2701567
343	199494	2700137
344	200054	2699289
345	200613	2698422
346	201197	2697906
347	201774	2697289
348	202348	2696633
349	202938	2696187
350	203504	2695423
351	204101	2695073
352	204712	2694902
353	205317	2694645
354	205883	2693883
355	206451	2693154
356	206986	2691982
357	207607	2691942
358	208227	2691878
359	208779	2690940
360	209409	2691001
361	210010	2690691
362	210584	2690029
363	211128	2688989
364	211710	2688428
365	212236	2687169
366	212799	2686377
367	213370	2685690
368	213944	2685038
369	214539	2684646
370	215169	2684683
371	215766	2684320
372	216396	2684363
373	216967	2683663
374	217546	2683079
375	218091	2682055
376	218638	2681078
377	219174	2679954
378	219728	2679064
379	220253	2677818
380	220822	2677105
381	221460	2677237
382	222041	2676670
383	222628	2676175
384	223214	2675679
385	223787	2675014
386	224341	2674125
387	224914	2673465
388	225478	2672696
389	226079	2672370
390	226598	2671074
391	227170	2670412
392	227736	2669679
393	228321	2669158
394	228837	2667841
395	229413	2667223
396	230018	2666944
397	230625	2666677
398	231189	2665919
399	231789	2665581
400	232355	2664847
401	232912	2664006
402	233517	2663725
403	234116	2663360
404	234720	2663064
405	235291	2662388
406	235873	2661832
407	236481	2661577
408	237035	2660710
409	237592	2659878
410	238148	2659035
411	238759	2658811
412	239366	2658528
413	239964	2658155
414	240536	2657491
415	241093	2656670
416	241664	2655991
417	242263	2655629
418	242858	2655208
419	243519	2655520
420	244103	2654983
421	244661	2654174
422	245191	2653048
423	245771	2652482
424	246312	2651481
425	246877	2650745
426	247467	2650274
427	248034	2649567
428	248614	2648991
429	249213	2648617
430	249766	2647751
431	250337	2647091
432	250860	2645907
433	251435	2645283
434	251999	2644551
435	252564	2643815
436	253141	2643209
437	253711	2642535
438	254264	2641688
439	254844	2641111
440	255394	2640235
441	255976	2639685
442	256550	2639051
443	257139	2638576
444	257699	2637804
445	258271	2637152
446	258842	2636482
447	259451	2636213
448	259994	2635271
449	260563	2634586
450	261135	2633936
451	261668	2632889
452	262268	2632525
453	262793	2631409
454	263390	2631011
455	263953	2630273
456	264505	2629432
457	265042	2628437
458	265620	2627844
459	266148	2626766
460	266805	2626960
461	267398	2626523
462	268006	2626228
463	268563	2625441
464	269111	2624559
465	269724	2624313
466	270328	2623982
467	270897	2623308
468	271496	2622924
469	272059	2622187
470	272655	2621776
471	273184	2620714
472	273779	2620299
473	274369	2619820
474	274915	2618931
475	275505	2618458
476	276034	2617405
477	276554	2616276
478	277125	2615626
479	277706	2615072
480	278237	2614045
481	278777	2613100
482	279336	2612347
483	279967	2612261
484	280548	2611702
485	281118	2611046
486	281722	2610707
487	282320	2610308
488	282891	2609661
489	283526	2609597
490	284082	2608817
491	284647	2608111
492	285257	2607819
493	285864	2607498
494	286458	2607065
495	287069	2606778
496	287659	2606302
497	288255	2605873
498	288809	2605073
499	289343	2604088
500	290053	2604689
501	290647	2604248
502	291295	2604283
503	291866	2603634
504	292450	2603099
505	293067	2602854
506	293662	2602414
507	294222	2601670
508	294805	2601124
509	295411	2600783
510	296063	2600839
511	296622	2600084
512	297213	2599607
513	297737	2598544
514	298361	2598353
515	298914	2597547
516	299551	2597462
517	300183	2597342
518	300775	2596869
519	301386	2596557
520	301918	2595567
521	302479	2594836
522	303055	2594222
523	303661	2593867
524	304245	2593331
525	304870	2593141
526	305495	2592947
527	306114	2592698
528	306716	2592305
529	307303	2591789
530	307897	2591325
531	308468	2590675
532	309066	2590242
533	309726	2590338
534	310339	2590032
535	310931	2589547
536	311489	2588781
537	312133	2588732
538	312714	2588162
539	313334	2587907
540	313912	2587314
541	314497	2586769
542	315114	2586494
543	315747	2586344
544	316346	2585913
545	316954	2585562
546	317616	2585641
547	318197	2585062
548	318826	2584873
549	319473	2584831
550	320065	2584341
551	320676	2584000
552	321283	2583633
553	321892	2583273
554	322507	2582962
555	323099	2582475
556	323726	2582259
557	324405	2582456
558	325001	2581988
559	325593	2581490
560	326192	2581046
561	326782	2580531
562	327413	2580345
563	328009	2579877
564	328574	2579162
565	329148	2578520
